日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2021/1/6,'000001,上证指数,3550.8767,3556.8022,3513.1262,3530.9072,3528.6767,22.2,0.6291,370230926,5.22E+11
2021/1/5,'000001,上证指数,3528.6767,3528.6767,3484.7151,3492.1912,3502.9584,25.7183,0.7342,407995934,5.68E+11
2021/1/4,'000001,上证指数,3502.9584,3511.6554,3457.2061,3474.6793,3473.0693,29.8891,0.8606,380790800,5.23E+11
2020/12/31,'000001,上证指数,3473.0693,3474.9182,3419.7267,3419.7267,3414.4527,58.6166,1.7167,335673926,4.50E+11
2020/12/30,'000001,上证指数,3414.4527,3414.4539,3374.4156,3375.0086,3379.0362,35.4165,1.0481,291023543,3.78E+11
2020/12/29,'000001,上证指数,3379.0362,3407.0884,3376.0876,3399.2939,3397.2854,-18.2492,-0.5372,311769185,3.82E+11
2020/12/28,'000001,上证指数,3397.2854,3412.5193,3383.654,3396.359,3396.5626,0.7228,0.0213,316181542,3.98E+11
2020/12/25,'000001,上证指数,3396.5626,3397.0066,3348.3453,3351.7901,3363.1133,33.4493,0.9946,294546895,3.59E+11
2020/12/24,'000001,上证指数,3363.1133,3394.0746,3354.0215,3382.193,3382.3195,-19.2062,-0.5678,275044450,3.63E+11
